Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),Smog Rating,AllOrFourWheelDrive,NumberOfGears,isCVT,Log Fuel Consumption(Comb (L/100 km)),Log CO2 Emissions(g/km),Log Engine Size(L),Log Fuel Consumption(Hwy (L/100 km)),Log Fuel Consumption(City (L/100 km))
Audi,Small,3.0,equal to 6,AS,L,12.6,8.3,10.6,27,248,5,True,8.0,False,2.3608540011180215,5.5134287461649825,1.0986122886681098,2.1162555148025524,2.533696813957432
Audi,SUV: Small,2.0,smaller/equal to 5,AS,H,10.4,7.7,9.2,31,215,7,True,8.0,False,2.2192034840549946,5.3706380281276624,0.6931471805599453,2.0412203288596382,2.341805806147327
Audi,SUV: Small,2.0,smaller/equal to 5,AS,H,11.4,8.3,10.0,28,233,7,True,8.0,False,2.302585092994046,5.4510384535657,0.6931471805599453,2.1162555148025524,2.4336133554004498
Audi,SUV: Small,2.0,smaller/equal to 5,AM,L,10.3,8.1,9.3,30,217,5,True,7.0,False,2.2300144001592104,5.37989735354046,0.6931471805599453,2.0918640616783932,2.33214389523559
Audi,SUV: Small,2.0,smaller/equal to 5,AM,L,10.3,8.4,9.4,30,220,5,True,7.0,False,2.2407096892759584,5.393627546352362,0.6931471805599453,2.128231705849268,2.33214389523559
Audi,SUV: Small,2.0,smaller/equal to 5,AM,L,10.3,8.4,9.4,30,220,5,True,7.0,False,2.2407096892759584,5.393627546352362,0.6931471805599453,2.128231705849268,2.33214389523559
Audi,SUV: Standard,2.0,smaller/equal to 5,AS,L,12.0,9.4,10.8,26,252,3,True,8.0,False,2.379546134130174,5.529429087511423,0.6931471805599453,2.2407096892759584,2.4849066497880004
Audi,SUV: Standard,3.0,equal to 6,AS,L,12.8,10.5,11.7,24,273,5,True,8.0,False,2.4595888418037104,5.60947179518496,1.0986122886681098,2.3513752571634776,2.5494451709255714
Audi,SUV: Standard,3.0,equal to 6,AS,L,12.8,10.5,11.7,24,273,5,True,8.0,False,2.4595888418037104,5.60947179518496,1.0986122886681098,2.3513752571634776,2.5494451709255714
Audi,Smallest,5.2,larger/equal to 8,AM,L,16.7,10.3,13.8,20,322,1,False,7.0,False,2.624668592163159,5.7745515455444085,1.6486586255873816,2.33214389523559,2.8154087194227095
Audi,Smallest,5.2,larger/equal to 8,AM,L,17.9,12.1,15.3,18,356,1,True,7.0,False,2.72785282839839,5.87493073085203,1.6486586255873816,2.4932054526026954,2.884800712846709
Audi,Smallest,5.2,larger/equal to 8,AM,L,16.7,10.3,13.8,20,322,1,False,7.0,False,2.624668592163159,5.7745515455444085,1.6486586255873816,2.33214389523559,2.8154087194227095
Audi,Smallest,5.2,larger/equal to 8,AM,L,17.9,12.1,15.3,18,356,1,True,7.0,False,2.72785282839839,5.87493073085203,1.6486586255873816,2.4932054526026954,2.884800712846709
Audi,Large,2.9,equal to 6,AS,L,13.0,9.4,11.4,25,267,5,True,8.0,False,2.4336133554004498,5.58724865840025,1.0647107369924282,2.2407096892759584,2.5649493574615367
Audi,Mid-size,2.9,equal to 6,AS,L,13.1,9.4,11.4,25,268,5,True,8.0,False,2.4336133554004498,5.5909869805108565,1.0647107369924282,2.2407096892759584,2.5726122302071057
Audi,Small,4.0,larger/equal to 8,AS,L,16.1,10.7,13.7,21,319,3,True,8.0,False,2.617395832834079,5.765191102784844,1.3862943611198906,2.3702437414678603,2.7788192719904172
Audi,Mid-size,4.0,larger/equal to 8,AS,L,16.0,10.5,13.5,21,315,3,True,8.0,False,2.6026896854443837,5.752572638825633,1.3862943611198906,2.3513752571634776,2.772588722239781
Audi,SUV: Standard,4.0,larger/equal to 8,AS,L,18.0,12.3,15.4,18,360,3,True,8.0,False,2.7343675094195836,5.886104031450156,1.3862943611198906,2.509599262378372,2.8903717578961645
Audi,Large,2.0,smaller/equal to 5,AM,L,10.0,7.2,8.8,32,206,5,True,7.0,False,2.174751721484161,5.327876168789581,0.6931471805599453,1.9740810260220096,2.302585092994046
Audi,Large,3.0,equal to 6,AS,L,11.1,8.0,9.7,29,227,5,True,8.0,False,2.272125885509337,5.424950017481403,1.0986122886681098,2.0794415416798357,2.4069451083182885
Audi,Large,3.0,equal to 6,AS,L,11.3,8.4,10.0,28,233,5,True,8.0,False,2.302585092994046,5.4510384535657,1.0986122886681098,2.128231705849268,2.424802725718295
Audi,Large,3.0,equal to 6,AS,L,11.1,8.0,9.7,29,227,5,True,8.0,False,2.272125885509337,5.424950017481403,1.0986122886681098,2.0794415416798357,2.4069451083182885
Audi,Mid-size,3.0,equal to 6,AS,L,11.1,8.0,9.7,29,227,5,True,8.0,False,2.272125885509337,5.424950017481403,1.0986122886681098,2.0794415416798357,2.4069451083182885
Audi,Mid-size,2.9,equal to 6,AS,L,12.8,8.5,10.9,26,254,5,True,8.0,False,2.388762789235098,5.537334267018537,1.0647107369924282,2.1400661634962708,2.5494451709255714
Audi,Mid-size,2.9,equal to 6,AS,L,12.8,8.5,10.9,26,254,5,True,8.0,False,2.388762789235098,5.537334267018537,1.0647107369924282,2.1400661634962708,2.5494451709255714
Audi,Small,4.0,larger/equal to 8,AS,L,16.9,10.2,13.8,20,323,3,True,8.0,False,2.624668592163159,5.777652323222656,1.3862943611198906,2.322387720290225,2.8273136219290276
Audi,SUV: Small,3.0,equal to 6,AS,L,12.5,9.7,11.2,25,262,5,True,8.0,False,2.4159137783010487,5.568344503761097,1.0986122886681098,2.272125885509337,2.5257286443082556
Audi,SUV: Small,3.0,equal to 6,AS,L,12.5,9.7,11.2,25,262,5,True,8.0,False,2.4159137783010487,5.568344503761097,1.0986122886681098,2.272125885509337,2.5257286443082556
Audi,SUV: Standard,4.0,larger/equal to 8,AS,L,16.0,11.4,13.9,20,325,3,True,8.0,False,2.631888840136646,5.783825182329737,1.3862943611198906,2.4336133554004498,2.772588722239781
Audi,SUV: Standard,4.0,larger/equal to 8,AS,L,16.0,11.4,13.9,20,325,3,True,8.0,False,2.631888840136646,5.783825182329737,1.3862943611198906,2.4336133554004498,2.772588722239781
